First Name,Surname,Full Name,Email,Categorisation,Email_Validity
Ali,NULL,Ali,NULL,Live,1
Umer,NULL,Umer,NULL,Live,1
Adnan,NULL,Adnan,adnan@gmail.com,Live,1
Abubakr,NULL,Abubakr,NULL,Live,1
Baber,NULL,Baber,NULL,Lapsed,1
Adeel,NULL,Adeel,adeel@gmail.com,Live,0
Ali,NULL,Ali,NULL,Live,1
Farhan,NULL,Farhan,NULL,Live,1
Murtaza,NULL,Murtaza,NULL,Lapsed,1
Faizan,NULL,Faizan,NULL,Live,1
Abdul,NULL,Abdul,abdul@gmail.com,Live,1
Ahmer,NULL,Ahmer,NULL,Live,1
Haris,NULL,Haris,NULL,Live,1
Nazakat,NULL,Nazakat,nazakat@gmail.com,Lapsed,1
Taha,NULL,Taha,taha@gmail.com,Live,1
Saima,NULL,Saima,saima@gmail.com,Live,1
Kosar,NULL,Kosar,kosar@gmail.com,Live,1
Adeela,NULL,Adeela,adeela@gmail.com,Lapsed,1
Alina,NULL,Alina,NULL,Live,1
Sohab,NULL,Sohab,NULL,Live,1
Sadia,NULL,Sadia,NULL,Live,1
Adeena,NULL,Adeena,NULL,Lapsed,1
Rabia,NULL,Rabia,NULL,Live,1
Noor,NULL,Noor,NULL,Lapsed,1
Abubakr,NULL,Abubakr,NULL,Live,1
Adeel,NULL,Adeel,adeel@gmail.com,Live,1
Adeel,NULL,Adeel,adeel@gmail.com,Live,1
Ali,NULL,Ali,NULL,Live,1
Farhan,NULL,Farhan,NULL,Lapsed,1
Murtaza,NULL,Murtaza,NULL,Live,1
Faizan,NULL,Faizan,NULL,Live,1
Abdul,NULL,Abdul,abdul@gmail.com,Live,1
Ahmer,NULL,Ahmer,NULL,Lapsed,1
Haris,NULL,Haris,NULL,Live,1
Nazakat,NULL,Nazakat,nazakat@gmail.com,Live,1
Taha,NULL,Taha,taha@gmail.com,Open RFQ,1
Saima,NULL,Saima,saima@gmail.com,Live,1
Kosar,NULL,Kosar,kosar@gmail.com,Live,1
Adeela,NULL,Adeela,adeela@gmail.com,Lapsed,1
